x1,x2,x1dot,x2dot,fX,mode_fsign,sigma
-2.35407660156869,0.559914757837847,0.559914757837847,1.79416184373085,-13.0631868330625,2,-1
-2.34542446466326,0.586721257367879,0.586721257367879,1.75870320729538,-12.9463047937116,2,-1
-2.33596067863088,0.614148023577136,0.614148023577136,1.72181265505375,-12.8189525055328,2,-1
-2.32606921459639,0.64099457775826,0.64099457775826,1.68507463683813,-12.6863968990319,2,-1
-2.31575919815238,0.667263377217038,0.667263377217038,1.64849582093534,-12.5488324606631,2,-1
-2.30503971384657,0.692956981366816,0.692956981366816,1.61208273247975,-12.4064540285638,2,-1
-2.29350809964457,0.718980605727168,0.718980605727168,1.5745274939174,-12.2540278019249,2,-1
-2.28155643593572,0.744392387800001,0.744392387800001,1.53716404813572,-12.0968575851735,2,-1
-2.26919469078332,0.769195516472262,0.769195516472262,1.49999917431106,-11.9351600117531,2,-1
-2.25643277761503,0.793393287841364,0.793393287841364,1.46303948977366,-11.76915111418,2,-1
-2.24287075744346,0.817703930479362,0.817703930479362,1.4251668269641,-11.5937619672684,2,-1
-2.22890483244587,0.841378941918672,0.841378941918672,1.3875258905272,-11.4142559093633,2,-1
-2.21454567069978,0.864422280721832,0.864422280721832,1.35012338997795,-11.2308660320615,2,-1
-2.19980387093539,0.886838014392482,0.886838014392482,1.31296585654291,-11.0438237371737,2,-1
-2.18428363096594,0.909200564095198,0.909200564095198,1.27508306687074,-10.8482560904485,2,-1
-2.16838257219125,0.930910772387705,0.930910772387705,1.23747179980355,-10.6493273020769,2,-1
-2.15211192794056,0.951973388846736,0.951973388846736,1.20013853909383,-10.4472807516726,2,-1
-2.13548284667745,0.97239327063187,0.97239327063187,1.16308957604558,-10.2423569729149,2,-1
-2.11810440389435,0.992631445548793,0.992631445548793,1.12547295834556,-10.0298986254207,2,-1
-2.10037388131233,1.01220704181772,1.01220704181772,1.08816683949461,-9.81492643927314,2,-1
-2.08230294956109,1.0311256066053,1.0311256066053,1.05117734295579,-9.59768772460905,2,-1
-2.06390317837008,1.0493927905025,1.0493927905025,1.01451038786758,-9.37842578520246,2,-1
-2.04478874687267,1.06737835331999,1.06737835331999,0.977410393552679,-9.15270966747034,2,-1
-2.02535554472181,1.08469706125891,1.08469706125891,0.940658483462895,-8.92538343839441,2,-1
-2.00561555824762,1.10135525278157,1.10135525278157,0.904260305466053,-8.69669205748174,2,-1
-1.98558065659196,1.11735936309946,1.11735936309946,0.868221293492496,-8.4668753685591,2,-1
-1.96486995032,1.13300436042885,1.13300436042885,0.831865589891156,-8.23173298034654,2,-1
-1.9438774248934,1.14798373323244,1.14798373323244,0.795893691660958,-7.99590795783339,2,-1
-1.92261526687794,1.16230459387769,1.16230459387769,0.760310673000257,-7.7596369319332,2,-1
-1.90109552934406,1.17597414256279,1.17597414256279,0.725121386781265,-7.52315040648737,2,-1
-1.87894176731558,1.18922502877388,1.18922502877388,0.689716738541707,-7.28247786888188,2,-1
-1.85654597435303,1.20181660913071,1.20181660913071,0.654729365222321,-7.04204412799938,2,-1
-1.83392042785141,1.21375674307292,1.21375674307292,0.620163684778484,-6.80207199833803,2,-1
